epoch,cl_loss,cl_loss_test,dcl_loss,dcl_loss_test,nscl_loss,nscl_loss_test,diff,diff_test,diff_cl,diff_cl_test
0,7.591771661018838,7.568058967590332,7.591265804913579,7.56753945350647,7.4852787621167245,7.461740112304687,0.10598704279685507,0.10579934120178222,0.10649289890211455,0.10631885528564453
10,7.169434255483199,7.1426506519317625,7.168650383851966,7.141842603683472,7.046434499779526,7.019650268554687,0.12221588407244001,0.12219233512878418,0.12299975570367307,0.1230003833770752
100,6.893616238418891,6.87297215461731,6.892589257687939,6.87191915512085,6.746991683025749,6.726511859893799,0.1455975746621891,0.1454072952270508,0.14662455539314115,0.14646029472351074
900,6.765100498588717,6.758756875991821,6.7639390887046345,6.75758318901062,6.608506533564354,6.603528356552124,0.1554325551402812,0.1540548324584961,0.15659396502436423,0.15522851943969726
